patch_id,product,year,bug_id,description,is_security
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,BUG-000153493,Installing ArcGIS Server Security 2022 Update 1 or 2 Patch affects the access to existing Workflow Manager (Classic) feature services.,False
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,BUG-000153438,"After installing the ArcGIS Server Security 2022 patch, ArcGIS Server services folders become inaccessible at the REST endpoint if it has a period (.) in the name.",False
ARCGIS-SERVER-SECURITY-2023-UPDATE-1-PAT,ArcGIS Server,2023,BUG-000133297,"Size of server.xml keeps increasing (10.9.1, 10.8.1 only)",False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000162991,Crash in map service export operation with clipping parameter. (10.9.1 Only),False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000161894,Unable to register a DB2 enterprise geodatabase as a data store or validate an existing DB2 data store in ArcGIS Server after installing the ArcGIS Server Map and Feature Service Security 2023 Update 1 Patch for versions 10.8.1 or 10.9.1.  (10.8.1 and 10.9.1 only),False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000160937,Installing ArcGIS Server Map and Feature Service Security 2023 Update 1 Patch from the Patch Notification options to Install All Patches or Install All Security Patches or with a silent install fails with Error 1603.,False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000158930,North arrows missing after exporting to PDF.,False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000158920,Map service does not include supportsQueryDomains in its root resources.,False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000158918,Print service fails to draws map services off 11.0 or above when the web map is in one of new projections such as equal earth.,False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000158039,There is an information disclosure issue in ArcGIS Server.,True
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000157755,Print services fail when a print request includes both secured and non-secured services from the same server. (10.9.1 and 10.8.1 only),False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000150564,Exporting PDFs from ArcGIS Pro 3.0 and combining them in Adobe Acrobat DC causes them to turn blank.,False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000149770,"When publishing map image layers with labels enabled in ArcGIS Pro 2.8.2 to Portal for ArcGIS (10.8.1 or 10.9.1), labels initially appear but completely disappear upon editing.",False
ARCGIS-SERVER-MAP-AND-FEATURE-SERVICE-SE,ArcGIS Server,2023,BUG-000124574,Certain Living Atlas Premium content layers do not successfully display in the legend of a map printed from Web AppBuilder for ArcGIS.,False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,BUG-000163367,"Portal for ArcGIS 11.1 Enterprise Sites Security Patch installs successfully, but results in further unexpected issues with Portal for ArcGIS. (11.1 only)",False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,BUG-000161711,"After installing the Portal for ArcGIS 10.8.1 Enterprise Sites Security Patch, no further Portal for ArcGIS patches can be installed and the Portal for ArcGIS software cannot be upgraded to a later release. (10.8.1 only)",False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,BUG-000161332,"Installing Portal for ArcGIS 11.1 Enterprise Sites Security Patch A or B removes the directory and files used by 3D Object style items, resulting in advanced 3D symbols not displaying properly in Scene Viewer. (11.1 only)",False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,BUG-000160895,"After installing the Portal for ArcGIS 10.9.1 Enterprise Sites Security Patch, no further Portal for ArcGIS patches can be installed and the Portal for ArcGIS software cannot be upgraded to a later release. (10.9.1 only)",False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,BUG-000160830,Installing the 11.1 version of the Portal for ArcGIS Enterprise Sites Security Patch results in failures on the standby machine in highly available environments. (11.1 only),False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,BUG-000159526,The Portal for ArcGIS Enterprise Sites Security Patch 11.1 is listed as not installed in the Patch Notification tool after installation. (11.1 only),False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2024,BUG-000153659,A stored Cross Site Scripting (XSS) vulnerability in ArcGIS Enterprise Sites.,True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000168637,Reflected cross-site-scripting (XSS) attacks in Portal for ArcGIS. (11.1 and 11.2 only),True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000168624,"Unvalidated redirect in Portal for ArcGIS. (11.2, 11.1, 10.9.1. and 10.8.1)",True
